,employeeID,year,team,region,age,experience,workSampleTest,b5cons,b5extra,b5open,b5emos,b5agree,feedbackmeet,teamBonus,productivity
3,0,2021,0,2,41,14,96.71435163732492,-1.3,-0.4,-0.8,-1.2,0.6,1,0,-0.05351257759838275
7,1,2021,0,2,57,28,69.09024305293535,-0.1,1.2,0.6,-2.1,-1.3,1,0,-1.9093880815370372
11,2,2021,0,2,27,5,106.32706968426098,2.4,-0.1,-1.2,-1.0,1.4,1,0,1.8420340891546885
15,3,2021,0,1,61,34,122.87348103908288,1.9,1.0,0.5,1.1,-0.5,1,0,0.2829076664034786
19,4,2021,0,2,36,11,92.79411266634989,0.6,-0.4,0.8,-1.7,0.9,1,0,-1.6188770172199975
23,5,2021,0,2,37,12,109.87162940307738,-0.2,-1.2,-0.1,1.7,-2.2,0,0,-1.1465196542241567
27,6,2021,0,1,45,18,98.59588413717417,1.0,-0.6,-1.7,0.8,-0.9,1,0,-1.2174774041759784
31,7,2021,0,1,24,3,115.63476495582651,0.6,0.9,-1.7,-0.8,-1.8,0,0,0.017791637592830593
35,8,2021,0,1,32,11,103.1569637211443,1.5,-1.2,-0.0,0.8,-0.0,1,0,1.4531224319017175
39,9,2021,0,2,61,35,83.57315045814595,0.5,-0.7,1.4,0.1,-0.5,1,0,-0.0811541757954174
43,10,2021,1,2,44,18,94.50035724719818,-0.5,0.1,-0.2,-1.4,1.0,0,1,1.5468281813653784
47,11,2021,1,2,58,31,115.91946022342678,-1.0,1.9,1.6,0.8,0.6,1,1,0.2179116955294332
51,12,2021,1,1,33,8,99.5332412811243,1.1,-1.0,0.4,-0.7,-0.1,0,1,-0.19391244408758043
55,13,2021,1,1,37,16,88.7874517980503,-0.4,0.1,-1.2,0.7,0.1,1,1,0.4102049007677564
59,14,2021,1,2,66,45,106.65922634191904,0.8,0.1,2.1,-0.0,-1.2,0,1,1.1987346126819183
63,15,2021,1,1,49,29,90.02118364683487,0.3,-0.5,1.9,0.3,1.0,1,1,-0.36573147570084624
67,16,2021,1,2,66,45,94.05453411570191,-0.4,2.5,-0.6,-0.3,0.6,0,1,1.6297714149380205
71,17,2021,1,1,54,25,110.89091940980035,-1.4,0.6,-0.1,0.2,1.8,1,1,-0.6771509099439831
75,18,2021,1,1,45,16,122.21158192129386,-1.7,1.1,-0.7,-0.0,-0.2,0,1,0.11405084386603416
79,19,2021,1,1,27,7,71.5309444677076,-2.4,-0.1,-1.4,0.6,0.9,0,1,-0.46009582351878126
83,20,2021,2,2,63,39,92.97353675370817,-2.0,0.5,-0.4,-0.2,-0.5,1,1,0.23356199119340895
87,21,2021,2,2,35,15,97.44030655861066,0.6,-2.0,-0.5,-1.3,-1.0,1,1,0.7536590636614142
91,22,2021,2,1,50,30,99.93421376470359,-2.2,0.2,1.3,1.2,0.5,1,1,0.2071187710697194
95,23,2021,2,2,54,31,105.53438910956741,-1.1,-1.0,-1.3,0.5,-1.2,1,1,1.6600893399335896
99,24,2021,2,2,35,14,116.18151554180136,-0.5,1.2,0.3,-0.9,0.9,1,1,1.3200102875581978
103,25,2021,2,1,50,28,97.306947152941,0.1,-2.2,0.4,0.7,0.4,1,1,-0.7108976508099365
107,26,2021,2,1,30,3,102.75554085122381,-0.6,-1.0,-1.8,-0.1,-0.5,1,1,-0.23628276219195465
111,27,2021,2,2,60,37,86.82972773409803,-0.2,1.6,0.3,-2.3,0.9,1,1,0.4148045964014964
115,28,2021,2,2,44,24,117.16891459821001,-1.0,0.9,-1.6,-0.7,-1.5,1,1,0.6052178899199488
119,29,2021,2,2,57,28,102.58969187571151,-1.4,0.3,0.2,-1.0,0.6,1,1,0.2824578182349846
123,30,2021,3,1,58,29,94.02159771800008,1.6,0.8,-1.1,0.4,-1.2,1,1,-0.005792482503439593
127,31,2021,3,2,56,27,100.37437653613972,1.1,-0.1,0.4,-0.1,-2.3,0,1,-0.6193186811260509
131,32,2021,3,2,53,31,115.47578572892722,0.9,0.7,-0.6,-0.8,0.5,0,1,0.4208194583751772
135,33,2021,3,1,56,31,98.45938255627665,1.2,0.9,0.9,-0.7,0.4,1,1,-0.8388202687796384
139,34,2021,3,1,65,36,91.63717291684839,1.9,0.0,-0.7,-0.0,-1.1,1,1,1.3818591409359988
