,employeeID,year,team,region,age,experience,workSampleTest,b5cons,b5extra,b5open,b5emos,b5agree,feedbackmeet,teamBonus,productivity
0,0,2018,0,2,38,11,96.71435163732492,-1.3,-0.4,-0.8,-1.2,0.6,1,0,0.7292097519814295
1,0,2019,0,2,39,12,96.71435163732492,-1.3,-0.4,-0.8,-1.2,0.6,1,0,-0.7801192238336353
2,0,2020,0,2,40,13,96.71435163732492,-1.3,-0.4,-0.8,-1.2,0.6,0,0,-0.3054903636205924
3,0,2021,0,2,41,14,96.71435163732492,-1.3,-0.4,-0.8,-1.2,0.6,1,0,-0.05351257759838275
4,1,2018,0,2,54,25,69.09024305293535,-0.1,1.2,0.6,-2.1,-1.3,1,0,-1.2669360957820253
5,1,2019,0,2,55,26,69.09024305293535,-0.1,1.2,0.6,-2.1,-1.3,0,0,-1.5138883472438533
6,1,2020,0,2,56,27,69.09024305293535,-0.1,1.2,0.6,-2.1,-1.3,1,0,-0.21035574431932327
7,1,2021,0,2,57,28,69.09024305293535,-0.1,1.2,0.6,-2.1,-1.3,1,0,-1.9093880815370372
8,2,2018,0,2,24,2,106.32706968426098,2.4,-0.1,-1.2,-1.0,1.4,1,0,0.37673394255766557
9,2,2019,0,2,25,3,106.32706968426098,2.4,-0.1,-1.2,-1.0,1.4,1,0,-0.8088176801338216
10,2,2020,0,2,26,4,106.32706968426098,2.4,-0.1,-1.2,-1.0,1.4,1,0,1.6303997712092761
11,2,2021,0,2,27,5,106.32706968426098,2.4,-0.1,-1.2,-1.0,1.4,1,0,1.8420340891546885
12,3,2018,0,1,58,31,122.87348103908288,1.9,1.0,0.5,1.1,-0.5,1,0,0.31218086105167914
13,3,2019,0,1,59,32,122.87348103908288,1.9,1.0,0.5,1.1,-0.5,1,0,0.5041311963351157
14,3,2020,0,1,60,33,122.87348103908288,1.9,1.0,0.5,1.1,-0.5,1,0,-0.6936219191698925
